YEAR,QUARTER,MONTH,ITEM_SECTION_CODE,SECTION_DESC,WEIGHT_IMPORT,VALUE_IMPORT,WEIGHT_EXPORT,VALUE_EXPORT,WEIGHT_REXPORT,VALUE_REXPORT
2011,3,7,16,"MACHINERY, SOUND RECORDERS, REPRODUCERS AND PARTS",314140753.3,17593864201,10508387.1,217590266.2,155727767.8,10458389503
2011,3,7,17,VEHICLES OF TRANSPORT,174668409.8,7227333998,12495241.06,54597815,100735496.1,2447370387
2011,3,7,18,"PHOTOGRAPHIC, MEDICAL, MUSICAL INSTRUMENTS & PARTS",6837019.32,1412018975,171830,7587744.14,2495842.38,676202666.2
2011,3,7,19,ARMS AND AMMUNITION; PARTS & ACCESSORIES,261116.02,85903275.95,6276,326570,34988.56,1195749.8
2011,3,7,20,MISCELLANEOUS MANUFACTURED ARTICLES,70731573.22,1083853984,5463966.33,51138957.22,21313117.58,360256088
2011,3,7,21,"PIECES AND ANTIQUES 'WORKS OF ART, COLLECTORS",1159814.43,24784670.24,8656.2,468644.59,2637530.8,62176485.7
2011,3,8,01,LIVE ANIMALS AND THEIR PRODUCTS,91190410.16,925975645.6,6953828.71,94112594.64,4117223.15,43497079.64
2011,3,8,02,VEGETABLE PRODUCTS,711009994.1,1995636509,10948240.21,55373628.92,94649151.02,459325669.8
2011,3,8,03,"ANIMAL OR VEGETABLE FATS, OILS AND WAXES",34030702.78,181973727.5,37143482.18,190859214.6,1411379.2,6699943.85
2011,3,8,04,"FOODSTUFFS, BEVERAGES, SPIRITS AND TOBACCO",432495788.5,1966837362,167674716.1,788905393.1,48782106.56,529498425.8
2011,3,8,05,MINERAL PRODUCTS,1849607577,3858509694,1287387437,1060076982,356134583.5,1011019762
2011,3,8,06,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,688108779.5,3962620901,39211642.87,302060717.5,46139393.23,1206106214
2011,3,8,07,"PLASTICS, RUBBER AND ARTICLES THEREOF",203035330.6,2069794223,73175756.17,477551247.5,61199243.34,692687819.9
2011,3,8,08,ARTICLES OF LEATHER AND ANIMAL GUT; TRAVEL GOODS,11092442.2,375646819.5,180631.85,1090049.56,3763367.45,105827205.9
2011,3,8,09,"ARTICLES OF WOOD, CORK; BASKETWARE AND WICKERWORK",139147851.6,362807288,371717.52,2214581.53,17698993.01,64624761.08
2011,3,8,10,"PULP OF WOOD, WASTE, SCRAP AND ARTICLES OF PAPER",115887442.7,662552745.3,36508699.42,158484717.2,9951412.68,90422428.31
2011,3,8,11,TEXTILES AND TEXTILE ARTICLES,123199250.4,2523717944,10460646.91,134957527.9,61233618.39,1002449625
2011,3,8,12,"FOOTWEAR,UMBRELLAS,ARTICLES OF FEATHER & HAIR",17490215.14,520420403,335036.45,1805199.11,7388755.94,170323529.7
2011,3,8,13,"ARTICLES OF STONE, MICA;CERAMIC PRODUCTS AND GLASS",213902513.8,707556324.6,132897752.3,242102905.9,31978673.89,238519591.6
2011,3,8,14,"PEARLS, STONES, PRECIOUS METALS AND ITS ARTICLES",1105365.74,17980426137,232376.69,6815070429,343788.23,9348657725
2011,3,8,15,BASE METALS AND ARTICLES OF BASE METAL,869788606.3,5802038966,247696569.8,1181749884,106969542,1070842831
2011,3,8,16,"MACHINERY, SOUND RECORDERS, REPRODUCERS AND PARTS",301872319.5,16527357155,8720475.65,196803632.4,151156273.3,10814378628
2011,3,8,17,VEHICLES OF TRANSPORT,158879832.3,7123372623,11276797.59,49969348.07,94178222.71,2569441345
2011,3,8,18,"PHOTOGRAPHIC, MEDICAL, MUSICAL INSTRUMENTS & PARTS",5267278.05,1267884820,321263.9,6858927.08,2010184.48,580554786.8
2011,3,8,19,ARMS AND AMMUNITION; PARTS & ACCESSORIES,157766.43,34704488.96,93,81189,97257.2,5237084.39
2011,3,8,20,MISCELLANEOUS MANUFACTURED ARTICLES,66327417.97,1128887910,4526983.82,50582143.97,21174017.15,352210747.1
2011,3,8,21,"PIECES AND ANTIQUES 'WORKS OF ART, COLLECTORS",688453.53,26296723.5,15048,814202.2,1721117.34,46741859.98
2011,3,9,01,LIVE ANIMALS AND THEIR PRODUCTS,99780817,975730313.1,7749353.04,115018385.2,4547350.24,46976203.05
